,age,birthDate,birthPlace,college,experience,guid,hand,headshot,height,id,jersey,lastName,position,salary,team,uid,weight
Jeff Green,33,08/28/86,"Cheverly, MD",Georgetown,11,be3d61b085b40c0baf388002721290b9,,https://a.espncdn.com/i/headshots/nba/players/full/3209.png,"6' 8""",3209,32,Jeff Green,PF,"$439,475",houston-rockets,s:40~l:46~a:3209,235 lbs
Michael Frazier,26,03/08/94,"Bronx, NY",Florida,0,b7c7764e6e51eb645deb5494c77cbcae,,https://a.espncdn.com/i/headshots/nba/players/full/2991255.png,"6' 3""",2991255,21,Michael Frazier,SG,0,houston-rockets,s:40~l:46~a:2991255,200 lbs
Robert Covington,29,12/14/90,"Bellwood, IL",Tennessee State,6,969cb082ed9d6eb2cc9ca8cdea54b5a9,,https://a.espncdn.com/i/headshots/nba/players/full/2490620.png,"6' 7""",2490620,33,Robert Covington,PF,"$11,301,219",houston-rockets,s:40~l:46~a:2490620,209 lbs
Russell Westbrook,31,11/12/88,"Long Beach, CA",UCLA,11,e849e50fb1b742561de2ca49862e218d,,https://a.espncdn.com/i/headshots/nba/players/full/3468.png,"6' 3""",3468,0,Russell Westbrook,PG,"$38,506,482",houston-rockets,s:40~l:46~a:3468,200 lbs
Thabo Sefolosha,35,05/02/84,Switzerland,,13,51b86f5ce5b881d55c34cdaa3f3470a7,,https://a.espncdn.com/i/headshots/nba/players/full/3028.png,"6' 6""",3028,18,Thabo Sefolosha,SF,"$1,620,564",houston-rockets,s:40~l:46~a:3028,215 lbs
Tyson Chandler,37,10/02/82,"Hanford, CA",,18,7ba0b445bed3db581df2ec8f631db597,,https://a.espncdn.com/i/headshots/nba/players/full/984.png,"7' 0""",984,19,Tyson Chandler,C,"$1,620,564",houston-rockets,s:40~l:46~a:984,235 lbs
William Howard,26,10/25/93,France,,0,5c79b75b3b42b8a622355227c0c96149,,https://a.espncdn.com/i/headshots/nba/players/full/4237239.png,"6' 8""",4237239,52,William Howard,SG,0,houston-rockets,s:40~l:46~a:4237239,207 lbs
Anthony Tolliver,34,06/01/85,"Springfield, MO",Creighton,11,eaeb55f916d086f6875ad5b845fc33b6,,https://a.espncdn.com/i/headshots/nba/players/full/3276.png,"6' 8""",3276,43,Anthony Tolliver,PF,"$1,620,564",memphis-grizzlies,s:40~l:46~a:3276,240 lbs
Brandon Clarke,23,09/19/96,"Vancouver, BC",Gonzaga,0,ac9aa77ddbe630648bef208071246a63,,https://a.espncdn.com/i/headshots/nba/players/full/3906665.png,"6' 8""",3906665,15,Brandon Clarke,SF,"$2,478,840",memphis-grizzlies,s:40~l:46~a:3906665,215 lbs
Dillon Brooks,24,01/22/96,"Mississauga, ON",Oregon,2,653c07b5853714acf4c6b4e37919aca0,,https://a.espncdn.com/i/headshots/nba/players/full/3155526.png,"6' 7""",3155526,24,Dillon Brooks,SG,"$1,618,520",memphis-grizzlies,s:40~l:46~a:3155526,225 lbs
Gorgui Dieng,30,01/18/90,Senegal,Louisville,6,d8820adffef7422cca799c21e1f89ec9,,https://a.espncdn.com/i/headshots/nba/players/full/2534781.png,"6' 10""",2534781,14,Gorgui Dieng,C,"$16,229,213",memphis-grizzlies,s:40~l:46~a:2534781,252 lbs
Grayson Allen,24,10/08/95,"Jacksonville, FL",Duke,1,fedd8adfa9ccd6430130ff502fc58389,B,https://a.espncdn.com/i/headshots/nba/players/full/3135045.png,"6' 4""",3135045,3,Grayson Allen,SG,"$2,429,400",memphis-grizzlies,s:40~l:46~a:3135045,198 lbs
Ja Morant,20,08/10/99,"Dalzell, SC",Murray State,0,de5f87e08571a730ade46d00d10b8577,,https://a.espncdn.com/i/headshots/nba/players/full/4279888.png,"6' 3""",4279888,12,Ja Morant,PG,"$8,730,240",memphis-grizzlies,s:40~l:46~a:4279888,174 lbs
John Konchar,24,03/22/96,,,0,d4c8df921ba032dc7329fd611c2cd134,,https://a.espncdn.com/i/headshots/nba/players/full/3134932.png,"6' 5""",3134932,46,John Konchar,SG,0,memphis-grizzlies,s:40~l:46~a:3134932,210 lbs
Jonas Valanciunas,27,05/06/92,Lithuania,,7,585a3d05447b8a2fbfed56049d1c04ba,,https://a.espncdn.com/i/headshots/nba/players/full/6477.png,"6' 11""",6477,17,Jonas Valanciunas,C,"$16,000,000",memphis-grizzlies,s:40~l:46~a:6477,265 lbs
Jontay Porter,20,11/15/99,"Columbia, MO",Missouri,0,2580dba55479eeb264f73c4403e584fd,,https://a.espncdn.com/combiner/i?img=/i/headshots/nophoto.png&w=200&h=146,"6' 10""",4278103,11,Jontay Porter,PF,"$197,933",memphis-grizzlies,s:40~l:46~a:4278103,236 lbs
Josh Jackson,23,02/10/97,"San Diego, CA",Kansas,2,4a424db96174de4e1a519b83743821e3,,https://a.espncdn.com/i/headshots/nba/players/full/4066297.png,"6' 8""",4066297,20,Josh Jackson,SG,"$7,059,480",memphis-grizzlies,s:40~l:46~a:4066297,207 lbs
Justise Winslow,23,03/26/96,"Houston, TX",Duke,4,7ff9912938d425a03f621ecc21ac00b4,,https://a.espncdn.com/i/headshots/nba/players/full/3135047.png,"6' 6""",3135047,7,Justise Winslow,SF,"$13,000,000",memphis-grizzlies,s:40~l:46~a:3135047,222 lbs
Kyle Anderson,26,09/20/93,"New York, NY",UCLA,5,0b5e3fdc796dc463655c9c8f6622bcd0,L,https://a.espncdn.com/i/headshots/nba/players/full/2993874.png,"6' 9""",2993874,1,Kyle Anderson,SF,"$9,073,050",memphis-grizzlies,s:40~l:46~a:2993874,230 lbs
Marko Guduric,25,03/08/95,Yugoslavia,,0,109643e358a38a08ae56db848b545abf,,https://a.espncdn.com/i/headshots/nba/players/full/4230554.png,"6' 6""",4230554,23,Marko Guduric,SG,"$2,625,000",memphis-grizzlies,s:40~l:46~a:4230554,201 lbs
Tyus Jones,23,05/10/96,"Burnsville, MN",Duke,4,c4cddbcc957d6182fa3366d045c64fc6,,https://a.espncdn.com/i/headshots/nba/players/full/3135046.png,"6' 0""",3135046,21,Tyus Jones,PG,"$9,258,000",memphis-grizzlies,s:40~l:46~a:3135046,196 lbs
Yuta Watanabe,25,10/13/94,Japan,George Washington,1,7919bc9c2a39dd2c41fcf7d4ef8567fe,,https://a.espncdn.com/i/headshots/nba/players/full/3133838.png,"6' 8""",3133838,18,Yuta Watanabe,SG,0,memphis-grizzlies,s:40~l:46~a:3133838,215 lbs
Brandon Ingram,22,09/02/97,"Kinston, NC",Duke,3,735792cabca36babe2ed68f39ccc7270,,https://a.espncdn.com/i/headshots/nba/players/full/3913176.png,"6' 7""",3913176,14,Brandon Ingram,SF,"$7,265,485",new-orleans-pelicans,s:40~l:46~a:3913176,190 lbs
Darius Miller,30,03/21/90,"Maysville, KY",Kentucky,5,2634343127239c2d99a258664665a403,,https://a.espncdn.com/i/headshots/nba/players/full/6610.png,"6' 6""",6610,21,Darius Miller,SF,"$7,000,000",new-orleans-pelicans,s:40~l:46~a:6610,225 lbs
Derrick Favors,28,07/15/91,"Atlanta, GA",Georgia Tech,9,7f9cc19ccc3507a006d8ed2f8fbe6276,,https://a.espncdn.com/i/headshots/nba/players/full/4257.png,"6' 9""",4257,22,Derrick Favors,C,"$17,650,000",new-orleans-pelicans,s:40~l:46~a:4257,265 lbs
Frank Jackson,21,05/04/98,"Washington, DC",Duke,1,9d61df389905269d1b5b9228b3cf4172,,https://a.espncdn.com/i/headshots/nba/players/full/4065651.png,"6' 3""",4065651,15,Frank Jackson,PG,"$1,618,520",new-orleans-pelicans,s:40~l:46~a:4065651,205 lbs
JJ Redick,35,06/24/84,"Cookeville, TN",Duke,13,1fa3143f7dc566ab5dd023a8af3d6ab2,,https://a.espncdn.com/i/headshots/nba/players/full/3024.png,"6' 3""",3024,4,JJ Redick,SG,"$13,486,300",new-orleans-pelicans,s:40~l:46~a:3024,200 lbs
Jahlil Okafor,24,12/15/95,"Fort Smith, AR",Duke,4,a717327dd44ae4e504f378bc9cb8ccb1,,https://a.espncdn.com/i/headshots/nba/players/full/3135048.png,"6' 10""",3135048,9,Jahlil Okafor,C,"$1,702,486",new-orleans-pelicans,s:40~l:46~a:3135048,270 lbs
Jaxson Hayes,19,05/23/00,"Norman, OK",Texas,0,4cd92ac173ce653dc3b19c68e9c7a4d0,,https://a.espncdn.com/i/headshots/nba/players/full/4397077.png,"6' 11""",4397077,10,Jaxson Hayes,C,"$4,862,040",new-orleans-pelicans,s:40~l:46~a:4397077,220 lbs
Josh Gray,26,09/09/93,"Lake Charles, LA",LSU,1,95bd1811ced7641482dcd7ecbec892d3,,https://a.espncdn.com/i/headshots/nba/players/full/3001308.png,"6' 0""",3001308,5,Josh Gray,PG,0,new-orleans-pelicans,s:40~l:46~a:3001308,180 lbs
Josh Hart,25,03/06/95,"Silver Spring, MD",Villanova,2,4384c489e5e6695a1c5fb3e66edcb897,B,https://a.espncdn.com/i/headshots/nba/players/full/3062679.png,"6' 5""",3062679,3,Josh Hart,SF,"$1,655,160",new-orleans-pelicans,s:40~l:46~a:3062679,215 lbs
Jrue Holiday,29,06/12/90,"Mission Hills, CA",UCLA,10,6694d3e67257f21735dcf6911488b9f1,,https://a.espncdn.com/i/headshots/nba/players/full/3995.png,"6' 3""",3995,11,Jrue Holiday,SG,"$26,231,111",new-orleans-pelicans,s:40~l:46~a:3995,205 lbs
Kenrich Williams,25,12/02/94,"Waco, TX",TCU,1,5dbafed64f212177c97368422587ed03,,https://a.espncdn.com/i/headshots/nba/players/full/3133626.png,"6' 6""",3133626,34,Kenrich Williams,SF,"$1,416,852",new-orleans-pelicans,s:40~l:46~a:3133626,210 lbs
Lonzo Ball,22,10/27/97,"Anaheim, CA",UCLA,2,636059566a4cd1875e834f0e5c740a28,R,https://a.espncdn.com/i/headshots/nba/players/full/4066421.png,"6' 6""",4066421,2,Lonzo Ball,PG,"$8,719,320",new-orleans-pelicans,s:40~l:46~a:4066421,190 lbs
Nicolo Melli,29,01/26/91,Italy,,0,f10944aa86d36cb5030c779c9dca9fee,,https://a.espncdn.com/i/headshots/nba/players/full/4341.png,"6' 9""",4341,20,Nicolo Melli,PF,"$4,102,564",new-orleans-pelicans,s:40~l:46~a:4341,236 lbs
Zion Williamson,19,07/06/00,"Salisbury, NC",Duke,0,34e5ec5d10b3ba592ba13a3be9a1be22,L,https://a.espncdn.com/i/headshots/nba/players/full/4395628.png,"6' 6""",4395628,1,Zion Williamson,SF,"$9,757,440",new-orleans-pelicans,s:40~l:46~a:4395628,284 lbs
Zylan Cheatham,24,11/17/95,,Arizona State,0,8e0d154fdcea706f9f23e80f3abf7939,,https://a.espncdn.com/i/headshots/nba/players/full/3137713.png,"6' 5""",3137713,45,Zylan Cheatham,SF,0,new-orleans-pelicans,s:40~l:46~a:3137713,220 lbs
Bryn Forbes,26,07/23/93,"Lansing, MI",Michigan State,3,c3f0a4f22873213c3af4fa28b37b90b4,,https://a.espncdn.com/i/headshots/nba/players/full/2994526.png,"6' 2""",2994526,11,Bryn Forbes,SG,"$2,875,000",san-antonio-spurs,s:40~l:46~a:2994526,205 lbs
Chimezie Metu,23,03/22/97,"Los Angeles, CA",USC,1,2ec16e8d110592541e1c527dba298b5e,,https://a.espncdn.com/i/headshots/nba/players/full/3914283.png,"6' 9""",3914283,7,Chimezie Metu,PF,"$1,416,852",san-antonio-spurs,s:40~l:46~a:3914283,225 lbs
DeMar DeRozan,30,08/07/89,"Compton, CA",USC,10,d942ef5ec416b06e63ac5f3db14757be,,https://a.espncdn.com/i/headshots/nba/players/full/3978.png,"6' 6""",3978,10,DeMar DeRozan,SF,"$27,739,975",san-antonio-spurs,s:40~l:46~a:3978,220 lbs
Dejounte Murray,23,09/19/96,"Seattle, WA",Washington,2,069547d066e579d206ac195011e77472,,https://a.espncdn.com/i/headshots/nba/players/full/3907497.png,"6' 4""",3907497,5,Dejounte Murray,PG,"$2,321,735",san-antonio-spurs,s:40~l:46~a:3907497,180 lbs
Derrick White,25,07/02/94,USA,Colorado,2,8aba42b74c1e6ccd315097691c299668,,https://a.espncdn.com/i/headshots/nba/players/full/3078576.png,"6' 4""",3078576,4,Derrick White,PG,"$1,948,080",san-antonio-spurs,s:40~l:46~a:3078576,190 lbs
Drew Eubanks,23,02/01/97,"Starkville, MS",Oregon State,1,8bde669061ad5afc76fa469e5df59ec8,,https://a.espncdn.com/i/headshots/nba/players/full/3914285.png,"6' 9""",3914285,14,Drew Eubanks,PF,0,san-antonio-spurs,s:40~l:46~a:3914285,245 lbs
Jakob Poeltl,24,10/15/95,Austria,Utah,3,a5b22bdbe9e3f48272f906db2e339aff,,https://a.espncdn.com/i/headshots/nba/players/full/3134908.png,"7' 1""",3134908,25,Jakob Poeltl,C,"$3,754,886",san-antonio-spurs,s:40~l:46~a:3134908,245 lbs
Keldon Johnson,20,10/11/99,"Chesterfield, VA",Kentucky,0,691dfac035e1b597c503f0211c8f7f6f,B,https://a.espncdn.com/i/headshots/nba/players/full/4395723.png,"6' 5""",4395723,3,Keldon Johnson,SF,"$1,950,600",san-antonio-spurs,s:40~l:46~a:4395723,220 lbs
LaMarcus Aldridge,34,07/19/85,"Dallas, TX",Texas,13,29631eafe8b88faa1a1f8a02838a3d20,,https://a.espncdn.com/i/headshots/nba/players/full/2983.png,"6' 11""",2983,12,LaMarcus Aldridge,PF,"$26,000,000",san-antonio-spurs,s:40~l:46~a:2983,250 lbs
Luka Samanic,20,01/09/00,Croatia,,0,bc9995ea4b1a9782ef30b0a4d7299aad,,https://a.espncdn.com/i/headshots/nba/players/full/4423309.png,"6' 10""",4423309,19,Luka Samanic,PF,"$2,689,920",san-antonio-spurs,s:40~l:46~a:4423309,227 lbs
Marco Belinelli,33,03/25/86,Italy,,12,521d3ad464114cbc6167e23a7184c2e1,,https://a.espncdn.com/i/headshots/nba/players/full/3190.png,"6' 5""",3190,18,Marco Belinelli,SG,"$5,846,154",san-antonio-spurs,s:40~l:46~a:3190,220 lbs
Patty Mills,31,08/11/88,Australia,Saint Mary's,10,493a55f7fcbaacc2ce8b93994e57fade,,https://a.espncdn.com/i/headshots/nba/players/full/4004.png,"6' 1""",4004,8,Patty Mills,PG,"$12,428,571",san-antonio-spurs,s:40~l:46~a:4004,180 lbs
Quinndary Weatherspoon,23,09/10/96,"Canton, MS",Mississippi State,0,f40458f631cee819bf79e83079dc3aac,,https://a.espncdn.com/i/headshots/nba/players/full/3907358.png,"6' 3""",3907358,15,Quinndary Weatherspoon,SG,0,san-antonio-spurs,s:40~l:46~a:3907358,205 lbs
Rudy Gay,33,08/17/86,"Baltimore, MD",Connecticut,13,e9cee43543dd5ec7cbbff56089958daf,,https://a.espncdn.com/i/headshots/nba/players/full/3005.png,"6' 8""",3005,22,Rudy Gay,SF,"$14,500,000",san-antonio-spurs,s:40~l:46~a:3005,250 lbs
Trey Lyles,24,11/05/95,"Saskatoon, SK",Kentucky,4,c212e512d1cf291c43df7725c8fd19c2,,https://a.espncdn.com/i/headshots/nba/players/full/3136196.png,"6' 9""",3136196,41,Trey Lyles,C,"$5,500,000",san-antonio-spurs,s:40~l:46~a:3136196,234 lbs
